identidad_genero;diversidad_sexual;rubro;origen_del_capital;puesto;maximo_nivel_de_formacion;trabajo;libertad_ser;sufrio_acoso;edicion;diversa;manager
Mujer cis;No;Alimentos;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Alimentos;Nacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;Prefiero no responder;Silvicultura;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Hombre cis;No;Servicios de salud;Nacional;Gerente;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Industrias químicas;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Construcción;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría;Multinacional;Administrativo;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios profesionales;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Servicios de salud;Nacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Autopartista;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Función pública;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Autopartista;Nacional;Analista;Terciario en curso;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Hotelería;Nacional;Jefe;Secundario en curso;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Hotelería;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Bancos y Finanzas;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Nacional;Analista;Maestría abandonada;Relación de Dependencia;99;99;2020;0;0
Mujer cis;Prefiero no responder;Bancos y Finanzas;Nacional;Analista;Terciario abandonado;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Educación;Nacional;Administrativo;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Otros;Multinacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Autopartista;Multinacional;Administrativo;Secundario completo;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Autopartista;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Otros;Multinacional;Pasante;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Función pública;Nacional;Analista;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;Si;Agro;Nacional;Administrativo;Terciario completo;Relación de Dependencia;99;99;2020;1;0
Mujer cis;No;Autopartista;Nacional;Gerente;Terciario completo;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Bancos y Finanzas;Multinacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Oil & Gas;Multinacional;Responsable;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Alimentos;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Alimentos;Nacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Administrativo;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Alimentos;Multinacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Servicios de salud;Nacional;Jefe;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Otros;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Educación;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Autopartista;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Hotelería;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Bancos y Finanzas;Nacional;Analista;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Construcción;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Función pública;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;Si;Tecnología;Multinacional;HRBP;"Universitario en
curso";Relación de Dependencia;99;99;2020;1;0
Mujer cis;No;Otros;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Industrias químicas;Multinacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Bancos y Finanzas;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios profesionales;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Oil & Gas;Nacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Alimentos;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Transporte;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Maestría completa;Freelance;99;99;2020;0;0
Hombre cis;No;Servicios de salud;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios Públicos;Nacional;HRBP;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Correos;Nacional;Analista;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Educación;Multinacional;Gerente;Maestría abandonada;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Hombre cis;No;Tecnología;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;Prefiero no responder;Otros;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Comercio;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Otros;Nacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Consultoría Freelance;NA;Consultor Freelance;Maestría completa;Freelance;99;99;2020;0;0
Mujer cis;No;Alimentos;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Industrias químicas;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios profesionales;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Servicios de salud;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;MInería;Multinacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Función pública;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Responsable;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Servicios de salud;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;Si;Servicios de salud;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;1;1
Mujer cis;No;Comercio;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;Prefiero no responder;Silvicultura;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Correos;Multinacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Correos;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Correos;Multinacional;Responsable;Terciario completo;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Alimentos;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Alimentos;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Correos;Multinacional;HRBP;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Construcción;Nacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Correos;Multinacional;Administrativo;Terciario en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Bancos y Finanzas;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Educación;Multinacional;Gerente;Maestría abandonada;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios profesionales;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Agro;Multinacional;Responsable;Terciario completo;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Educación;Multinacional;Gerente;Maestría abandonada;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Alimentos;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Tecnología;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Hombre cis;No;Tecnología;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Consultoría Freelance;NA;Consultor Freelance;Maestría completa;Freelance;99;99;2020;0;0
Mujer cis;No;Correos;Multinacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Autopartista;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Construcción;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Comercio;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Comercio;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Otros;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Oil & Gas;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Hotelería;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Hotelería;Multinacional;Responsable;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Consultoría Freelance;NA;Consultor Freelance;Maestría completa;Freelance;99;99;2020;0;0
Hombre cis;No;MInería;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Consultoría;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;Prefiero no responder;Servicios profesionales;Multinacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Hombre cis;No;Servicios de salud;Nacional;Analista;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Oil & Gas;Multinacional;Gerente;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Nacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Bancos y Finanzas;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Consultoría Freelance;NA;Consultor Freelance;Terciario completo;Freelance;99;99;2020;0;0
Hombre cis;Si;Bancos y Finanzas;Nacional;Gerente;Maestría abandonada;Relación de Dependencia;99;99;2020;1;1
Mujer cis;No;Otros;Nacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Otros;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Tecnología;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Tecnología;Multinacional;Analista;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Otros;Nacional;Jefe;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Nacional;Analista;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;Si;Tecnología;Multinacional;HRBP;Terciario completo;Relación de Dependencia;99;99;2020;1;0
Mujer cis;Prefiero no responder;Transporte;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Bancos y Finanzas;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Bancos y Finanzas;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Transporte;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;Prefiero no responder;Transporte;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios profesionales;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Consultoría;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario en
curso";Freelance;99;99;2020;0;0
Mujer cis;Si;Correos;Nacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;1;1
Hombre cis;No;Industrias químicas;Multinacional;Gerente;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Construcción;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Correos;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Transporte;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Oil & Gas;Multinacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Prefiero no responder;Prefiero no responder;Otros;Nacional;Responsable;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Servicios de salud;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Multinacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Multinacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;Si;Servicios de salud;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;1;1
Mujer cis;No;Construcción;Nacional;Jefe;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Consultoría;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Terciario en curso;Freelance;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Analista;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Autopartista;Multinacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Alimentos;Multinacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Servicios de salud;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Nacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Otros;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Bancos y Finanzas;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Consultoría;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios profesionales;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Otros;Nacional;Responsable;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría;Nacional;Jefe;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Otros;Multinacional;Jefe;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Educación;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios Públicos;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Transporte;Nacional;Analista;Terciario en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Función pública;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Educación;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Consultoría;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Función pública;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Educación;Nacional;Administrativo;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Hombre cis;Si;Servicios Públicos;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;1;0
Hombre cis;No;Bancos y Finanzas;Nacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios profesionales;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Hotelería;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Industrias químicas;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Transporte;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Bancos y Finanzas;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Agro;Nacional;Responsable;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Analista;Terciario en curso;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Otros;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría;Nacional;HRBP;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Responsable;Terciario completo;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Alimentos;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Función pública;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Género diverso;Prefiero no responder;Correos;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;1;1
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Multinacional;Analista;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Servicios de salud;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;Si;Educación;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;1;1
Mujer cis;No;Tecnología;Nacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Alimentos;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Multinacional;HRBP;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Multinacional;HRBP;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios Públicos;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Bancos y Finanzas;Nacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Multinacional;HRBP;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Función pública;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Hombre cis;No;Tecnología;Multinacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Alimentos;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Otros;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios Públicos;Multinacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;Si;Otros;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;1;0
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Multinacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Tecnología;Multinacional;Responsable;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Educación;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Servicios profesionales;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Multinacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario en
curso";Freelance;99;99;2020;0;0
Mujer cis;No;Hotelería;Nacional;Responsable;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Nacional;Responsable;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
